Region,SurveyYear,LISA_ANC,Quad_ANC,LISA_TFR,Quad_TFR,ANC,TFR
Ahafo,1988,0.159,HH,-0.2318,HL,88.3,7.6
Ashanti,1988,0.2212,HH,-0.0451,LH,92.4,6.3
Central,1988,-0.2637,LH,-0.1248,HL,78.2,6.6
Eastern,1988,0.0884,HH,0.1799,LL,88.2,6.0
Greater Accra,1988,0.0993,HH,-0.1632,LH,91.6,4.7
Northern,1988,-0.847,LH,0.2026,HH,53.7,6.9
Volta,1988,-0.0734,LH,-0.6147,HL,80.7,7.2
Western,1988,0.2685,HH,0.015,LL,92.0,6.4
Ahafo,1993,0.2444,HH,-0.1411,LH,89.9,4.7
Ashanti,1993,0.2762,HH,-0.0184,HL,91.0,5.4
Central,1993,0.0396,HH,-0.1893,HL,86.1,5.4
Eastern,1993,0.2969,HH,0.0911,LL,89.1,5.0
Greater Accra,1993,0.5069,HH,-0.5399,LH,95.6,3.4
Northern,1993,0.4664,LL,0.4877,HH,73.2,6.0
Upper East,1993,0.0531,LL,0.1952,HH,85.1,5.7
Upper West,1993,0.2423,LL,0.0254,HH,74.6,5.2
Volta,1993,0.0054,HH,-0.1893,HL,85.8,5.4
Western,1993,0.1513,HH,-0.2287,HL,87.1,5.4
Ahafo,1998,0.7219,HH,-0.0258,HL,95.8,5.2
Ashanti,1998,0.7219,HH,0.0184,HH,95.8,4.9
Central,1998,0.45,HH,-0.056,HL,92.0,4.7
Eastern,1998,0.3029,HH,0.0942,LL,91.6,4.5
Greater Accra,1998,0.3618,HH,0.0874,LL,93.2,2.7
Northern,1998,0.7131,LL,0.2849,HH,74.8,5.4
Upper East,1998,0.2454,LL,-0.2501,LH,78.0,4.4
Upper West,1998,0.0749,LL,0.6618,HH,70.6,5.9
Volta,1998,-0.3213,LH,0.2143,LL,82.8,4.3
Western,1998,0.3596,HH,0.1271,LL,90.0,4.3
Ahafo,2003,0.492,HH,-0.0417,HL,95.9,4.8
Ashanti,2003,0.3581,HH,-0.0249,LH,94.4,4.1
Central,2003,0.4462,HH,-0.407,HL,95.0,5.0
Eastern,2003,-0.0474,LH,0.266,LL,91.5,4.3
Greater Accra,2003,0.1364,HH,0.4674,LL,96.5,2.9
Northern,2003,0.7774,LL,0.1213,HH,84.6,6.0
Upper East,2003,0.101,LL,0.0614,HH,85.3,4.7
Upper West,2003,0.0067,LL,0.3939,HH,91.9,5.5
Volta,2003,-0.4128,LH,0.1917,LL,89.0,4.4
Western,2003,0.721,HH,0.0806,LL,95.5,4.5
Ahafo,2008,-0.1114,HL,-0.0,LH,96.6,4.1
Ashanti,2008,-0.3882,HL,-0.0924,LH,97.4,3.6
Central,2008,-0.1122,LH,-1.0714,HL,93.1,5.4
Eastern,2008,0.2232,LL,0.2771,LL,94.7,3.6
Greater Accra,2008,0.3531,LL,0.2094,LL,94.2,2.5
Northern,2008,0.1636,HH,-0.1385,HL,96.0,5.7
Upper East,2008,0.0219,HH,-0.0493,LH,95.3,4.1
Upper West,2008,0.899,HH,0.1724,HH,97.0,5.0
Volta,2008,0.4283,LL,0.2094,LL,93.2,3.8
Western,2008,-0.0019,LH,-0.0,HL,95.2,4.2
Ahafo,2014,0.1535,HH,-0.1458,HL,98.6,4.8
Ashanti,2014,0.1555,HH,0.0528,LL,98.7,4.2
Central,2014,0.0308,HH,-0.2745,HL,97.5,4.7
Eastern,2014,0.0854,LL,0.18,LL,95.7,4.2
Greater Accra,2014,-0.1779,HL,0.2748,LL,98.1,2.8
