Region,mean_cei,mean_anc,mean_tfr,n_waves
Ahafo,20.156111111111112,95.57777777777778,4.911111111111111,9
Ashanti,22.982555555555557,96.37777777777778,4.377777777777777,9
Bono,26.649,98.6,3.7,1
Central,20.113222222222223,92.78888888888889,4.811111111111111,9
Eastern,23.155888888888892,93.94444444444444,4.222222222222222,9
Greater Accra,31.897222222222222,95.61111111111111,3.0999999999999996,9
North East,14.485,95.6,6.6,1
Northern,14.832444444444443,85.12222222222222,5.822222222222223,9
Oti,18.673,97.1,5.2,1
Savannah,16.534,95.9,5.8,1
Upper East,20.254625,92.5625,4.625,8
Upper West,18.539375,90.6125,4.9875,8
Volta,20.434444444444445,90.4,4.622222222222223,9
Western,21.771333333333335,94.19999999999999,4.477777777777778,9
